"","vroot","click","user"
"2",1010,1,"10010"
"3",1000,1,"10010"
"4",1011,1,"10010"
"5",1012,1,"10010"
"6",1013,1,"10010"
"7",1014,1,"10010"
"9",1017,1,"10019"
"10",1004,1,"10019"
"11",1018,1,"10019"
"12",1029,1,"10019"
"13",1008,1,"10019"
"14",1030,1,"10019"
"15",1031,1,"10019"
"16",1032,1,"10019"
"17",1003,1,"10019"
"18",1033,1,"10019"
"19",1002,1,"10019"
"21",1017,1,"10021"
"22",1004,1,"10021"
"23",1018,1,"10021"
"24",1035,1,"10021"
"25",1036,1,"10021"
"26",1008,1,"10021"
"27",1037,1,"10021"
"28",1009,1,"10021"
"29",1038,1,"10021"
"30",1026,1,"10021"
"31",1039,1,"10021"
"32",1040,1,"10021"
"33",1032,1,"10021"
"34",1041,1,"10021"
"35",1042,1,"10021"
"36",1034,1,"10021"
"37",1043,1,"10021"
"39",1045,1,"10031"
"40",1049,1,"10031"
"41",1018,1,"10031"
"42",1008,1,"10031"
"43",1035,1,"10031"
"44",1027,1,"10031"
"45",1046,1,"10031"
"46",1009,1,"10031"
"47",1031,1,"10031"
"48",1041,1,"10031"
"49",1001,1,"10031"
"50",1003,1,"10031"
"51",1002,1,"10031"
"52",1034,1,"10031"
"54",1008,1,"10035"
"55",1051,1,"10035"
"56",1038,1,"10035"
"57",1031,1,"10035"
"58",1052,1,"10035"
"59",1053,1,"10035"
"60",1018,1,"10035"
"62",1051,1,"10036"
"63",1054,1,"10036"
"64",1018,1,"10036"
"65",1035,1,"10036"
"66",1008,1,"10036"
"67",1009,1,"10036"
"68",1026,1,"10036"
"69",1040,1,"10036"
"70",1052,1,"10036"
"71",1041,1,"10036"
"72",1003,1,"10036"
"73",1034,1,"10036"
"74",1048,1,"10036"
"76",1008,1,"10038"
"77",1027,1,"10038"
"78",1026,1,"10038"
"79",1041,1,"10038"
"80",1032,1,"10038"
"81",1001,1,"10038"
"82",1003,1,"10038"
"83",1018,1,"10038"
"84",1057,1,"10038"
"86",1000,1,"10039"
"87",1058,1,"10039"
"88",1017,1,"10039"
"89",1049,1,"10039"
"90",1001,1,"10039"
"91",1034,1,"10039"
"93",1045,1,"10065"
"94",1062,1,"10065"
"95",1017,1,"10065"
"96",1004,1,"10065"
"97",1021,1,"10065"
"98",1008,1,"10065"
"99",1056,1,"10065"
"100",1046,1,"10065"
"101",1040,1,"10065"
"102",1034,1,"10065"
"104",1064,1,"10068"
"105",1065,1,"10068"
"106",1066,1,"10068"
"107",1067,1,"10068"
"108",1027,1,"10068"
"109",1040,1,"10068"
"110",1061,1,"10068"
"111",1068,1,"10068"
"112",1042,1,"10068"
"113",1034,1,"10068"
"114",1025,1,"10068"
"115",1069,1,"10068"
"116",1070,1,"10068"
"117",1018,1,"10068"
"118",1004,1,"10068"
"119",1071,1,"10068"
"120",1072,1,"10068"
"121",1010,1,"10068"
"122",1008,1,"10068"
"123",1038,1,"10068"
"124",1023,1,"10068"
"125",1026,1,"10068"
"126",1041,1,"10068"
"128",1008,1,"10070"
"129",1017,1,"10070"
"130",1031,1,"10070"
"131",1052,1,"10070"
"132",1001,1,"10070"
"133",1003,1,"10070"
"134",1018,1,"10070"
"136",1008,1,"10077"
"137",1030,1,"10077"
"138",1017,1,"10077"
"139",1003,1,"10077"
"140",1001,1,"10077"
"141",1034,1,"10077"
"142",1002,1,"10077"
"143",1004,1,"10077"
"145",1025,1,"10085"
"146",1069,1,"10085"
"147",1017,1,"10085"
"148",1074,1,"10085"
"149",1008,1,"10085"
"150",1037,1,"10085"
"151",1009,1,"10085"
"152",1026,1,"10085"
"153",1032,1,"10085"
"154",1034,1,"10085"
"156",1008,1,"10117"
"157",1009,1,"10117"
"158",1017,1,"10117"
"159",1001,1,"10117"
"160",1003,1,"10117"
"161",1024,1,"10117"
"162",1034,1,"10117"
"163",1018,1,"10117"
"165",1081,1,"10127"
"166",1082,1,"10127"
"167",1040,1,"10127"
"168",1001,1,"10127"
"169",1018,1,"10127"
"170",1083,1,"10127"
"172",1084,1,"10132"
"173",1085,1,"10132"
"174",1086,1,"10132"
"175",1087,1,"10132"
"176",1054,1,"10132"
"177",1036,1,"10132"
"178",1077,1,"10132"
"179",1040,1,"10132"
"180",1003,1,"10132"
"181",1088,1,"10132"
"182",1017,1,"10132"
"183",1018,1,"10132"
"184",1014,1,"10132"
"185",1000,1,"10132"
"186",1089,1,"10132"
"187",1001,1,"10132"
"189",1017,1,"10133"
"190",1018,1,"10133"
"191",1035,1,"10133"
"192",1037,1,"10133"
"193",1090,1,"10133"
"194",1009,1,"10133"
"195",1001,1,"10133"
"196",1032,1,"10133"
"198",1010,1,"10134"
"199",1025,1,"10134"
"200",1020,1,"10134"
"201",1026,1,"10134"
"202",1041,1,"10134"
"203",1004,1,"10134"
"205",1000,1,"10141"
"206",1025,1,"10141"
"207",1022,1,"10141"
"208",1046,1,"10141"
"209",1040,1,"10141"
"210",1039,1,"10141"
"211",1026,1,"10141"
"212",1049,1,"10141"
"213",1034,1,"10141"
"214",1002,1,"10141"
"215",1018,1,"10141"
"217",1008,1,"10147"
"218",1025,1,"10147"
"219",1026,1,"10147"
"220",1063,1,"10147"
"221",1041,1,"10147"
"222",1034,1,"10147"
"224",1035,1,"10152"
